,2P%,FT%,TRB,AST,STL,PTS,Pos
5893,0.466,0.821,105,52,33,388,4.0
5894,0.49,0.897,121,80,28,659,4.0
5895,0.489,0.902,53,31,14,335,4.0
5896,0.492,0.889,68,49,14,324,4.0
5897,0.522,0.701,531,467,154,1656,5.0
5898,0.46,0.562,772,178,46,1025,1.0
5899,0.482,0.765,176,295,54,568,3.0
5900,0.439,0.736,217,40,26,465,1.0
5901,0.519,1.0,29,65,17,126,3.0
5902,0.493,0.906,179,342,67,793,3.0
5903,0.441,0.718,211,48,23,349,1.0
5904,0.429,0.879,115,94,38,405,4.0
5905,0.49,0.704,610,160,29,1213,1.0
5906,0.416,0.747,119,226,34,516,3.0
5907,0.389,0.747,88,170,23,414,3.0
5908,0.474,0.75,31,56,11,102,3.0
5909,0.486,0.75,101,14,16,132,2.0
5910,0.476,0.872,39,40,20,172,4.0
5911,0.5,1.0,7,8,0,20,4.0
5912,0.472,0.844,32,32,20,152,4.0
5913,0.48,0.867,318,160,72,2115,5.0
5914,0.412,0.605,98,169,54,330,3.0
5915,0.466,0.861,319,338,118,2095,4.0
5916,0.492,0.812,304,198,45,1223,4.0
5917,0.376,0.615,71,65,28,188,4.0
5918,0.466,0.696,321,261,99,1224,5.0
5919,0.482,0.791,502,248,103,1689,5.0
5920,0.437,0.684,112,126,30,572,3.0
5921,0.444,0.743,47,73,24,176,3.0
5922,0.44,0.625,10,13,5,45,3.0
5923,0.542,0.25,7,8,1,36,3.0
5924,0.407,0.87,30,52,18,95,3.0
5925,0.461,0.568,883,170,32,311,2.0
5926,0.297,0.474,14,6,3,40,5.0
5927,0.553,0.6,304,37,42,551,2.0
5928,0.487,0.663,411,222,88,1072,5.0
5929,0.504,0.574,386,46,21,543,2.0
5930,0.473,0.7,163,42,17,265,1.0
5931,0.495,0.75,121,155,57,482,5.0
5932,0.484,0.613,164,32,28,160,2.0
5933,0.431,0.803,154,25,23,218,5.0
5934,0.394,0.795,95,14,11,136,5.0
5935,0.459,0.508,234,31,24,189,1.0
5936,0.462,0.508,234,31,24,189,1.0
5937,0.531,0.701,331,123,129,873,5.0
5938,0.53,0.777,547,146,63,928,1.0
5939,0.395,0.75,125,14,15,133,2.0
5940,0.353,0.875,22,4,1,34,1.0
5941,0.531,0.801,394,266,63,1022,5.0
5942,0.471,0.841,118,99,46,526,4.0
5943,0.402,0.792,203,139,74,823,5.0
5944,0.0,0.5,6,3,2,1,5.0
5945,0.408,0.876,238,165,124,1079,4.0
5946,0.509,0.714,701,92,49,1277,1.0
5947,0.391,0.793,194,319,67,552,3.0
5948,0.358,0.875,104,57,8,139,5.0
5949,0.337,0.7,92,31,5,91,2.0
5950,0.558,0.52,95,21,9,203,2.0
5951,0.41,0.769,65,14,13,88,2.0
5952,0.461,0.814,679,125,74,1493,2.0
5953,0.404,0.867,44,116,19,300,3.0
5954,0.3,1.0,5,10,1,23,3.0
5955,0.375,1.0,2,4,0,17,3.0
5956,0.419,0.854,37,102,18,260,3.0
5957,0.477,0.847,238,305,62,1445,4.0
5958,0.417,1.0,10,4,1,14,4.0
5959,0.445,0.644,94,150,48,346,3.0
5960,0.488,0.797,361,67,22,887,1.0
5961,0.47,0.712,70,159,37,199,3.0
5962,0.488,0.843,366,507,132,1938,4.0
5963,0.446,0.766,338,253,93,1679,4.0
5964,0.488,0.769,205,217,90,1061,4.0
5965,0.5,0.5,3,2,1,3,5.0
5966,0.479,0.72,171,52,31,300,5.0
5967,0.43,0.863,217,133,60,774,4.0
5968,0.587,0.846,228,860,166,1183,3.0
5969,0.426,0.823,330,709,123,1634,3.0
5970,0.451,0.813,90,68,27,297,4.0
5971,0.424,0.571,37,1,4,62,2.0
5972,0.488,0.738,335,727,143,1410,3.0
5973,0.457,0.803,519,73,47,699,2.0
5974,0.473,0.614,308,390,90,755,4.0
5975,0.45,0.738,165,17,16,153,1.0
5976,0.583,1.0,13,8,2,21,4.0
5977,0.375,0.761,107,9,12,113,2.0
5978,0.401,0.632,96,180,55,445,3.0
5979,0.404,0.632,96,179,55,445,3.0
5980,0.534,0.653,622,133,59,1036,1.0
5981,0.37,0.75,24,40,15,70,4.0
5982,0.544,0.699,428,87,48,882,2.0
5983,0.42,0.825,226,672,75,1206,3.0
5984,0.504,0.702,817,110,85,1220,2.0
5985,0.438,0.631,741,262,105,1435,2.0
5986,0.446,0.649,147,17,15,214,2.0
5987,0.517,0.718,155,37,21,325,5.0
5988,0.573,0.638,419,74,48,938,2.0
5989,0.514,0.79,107,113,28,402,4.0
5990,0.464,0.76,220,326,83,409,3.0
5991,0.45,0.75,47,33,22,78,5.0
5992,0.455,0.833,18,10,11,33,5.0
5993,0.447,0.5,29,23,11,45,5.0
5994,0.493,0.738,679,140,74,1003,5.0
5995,0.535,0.565,743,331,122,1445,2.0
5996,0.502,0.83,129,41,10,280,1.0
5997,0.513,0.781,264,537,162,1240,3.0
5998,0.481,0.681,148,113,61,531,4.0
5999,0.316,0.733,12,36,11,59,3.0
6000,0.485,0.832,104,182,49,430,3.0
6001,0.458,0.803,402,119,39,1145,5.0
6002,0.462,0.716,173,173,54,848,4.0
6003,0.577,0.673,138,15,16,197,2.0
6004,0.538,0.642,397,53,40,465,2.0
6005,0.458,0.752,329,129,72,1078,4.0
6006,0.4,0.75,31,5,4,39,2.0
6007,0.493,0.672,562,100,67,541,1.0
6008,0.412,0.59,553,51,24,550,2.0
6009,0.51,0.645,206,91,55,588,5.0
6010,0.476,0.75,31,10,8,76,5.0
6011,0.25,0.5,7,2,0,5,5.0
6012,0.529,0.8,24,8,8,71,5.0
6013,0.513,0.691,397,41,44,362,1.0
6014,0.448,0.765,367,197,97,1199,5.0
6015,0.5,0.689,326,124,60,915,5.0
6016,0.487,0.693,561,71,42,842,2.0
6017,0.448,0.825,74,80,44,236,4.0
6018,0.457,0.675,137,45,14,211,5.0
6019,0.476,0.737,112,20,14,95,1.0
6020,0.652,0.667,27,13,7,57,2.0
6021,0.647,0.0,7,11,3,22,3.0
6022,0.483,0.587,471,49,48,561,1.0
6023,0.4,0.511,186,28,15,390,1.0
6024,0.422,0.789,86,14,5,143,1.0
6025,0.398,0.781,63,9,4,91,1.0
6026,0.405,1.0,37,58,16,227,3.0
6027,0.414,0.672,116,51,35,376,4.0
6028,0.488,0.784,581,213,89,1829,5.0
6029,0.469,0.784,146,209,70,488,3.0
6030,0.494,0.676,47,71,25,165,3.0
6031,0.455,0.846,99,138,45,323,3.0
6032,0.453,0.875,405,356,111,1602,4.0
6033,0.442,0.873,187,227,86,770,5.0
6034,0.474,0.39,118,15,19,88,1.0
6035,0.411,0.789,173,345,87,746,3.0
6036,0.398,0.772,134,245,61,567,3.0
6037,0.45,0.837,39,100,26,179,3.0
6038,0.493,0.638,297,119,72,890,5.0
6039,0.56,0.735,227,89,66,681,4.0
6040,0.414,0.716,157,35,31,240,1.0
6041,0.442,0.663,111,205,64,419,3.0
6042,0.539,0.84,76,150,29,261,3.0
6043,0.333,0.714,7,6,4,17,3.0
6044,0.563,0.86,69,144,25,244,3.0
6045,0.42,0.854,159,236,58,442,3.0
6046,0.365,0.718,68,38,19,66,4.0
6047,0.375,0.632,101,29,27,111,5.0
6048,0.419,0.603,235,88,57,403,4.0
6049,0.47,0.669,557,175,61,1055,1.0
6050,0.476,0.68,330,87,43,659,1.0
6051,0.461,0.652,227,88,18,396,1.0
6052,0.545,0.591,656,152,91,1574,1.0
6053,0.52,0.746,794,217,71,1036,2.0
6054,0.499,0.847,153,286,83,784,3.0
6055,0.444,0.858,171,153,64,631,4.0
6056,0.45,0.844,143,132,50,561,4.0
6057,0.393,1.0,28,21,14,70,4.0
6058,0.529,0.846,35,49,10,56,3.0
6059,0.465,0.931,37,51,24,121,4.0
6060,0.452,0.702,351,60,54,544,2.0
6061,0.458,0.729,90,98,33,191,3.0
6062,0.594,0.364,126,18,19,177,2.0
6063,0.408,0.824,203,25,35,420,5.0
6064,0.407,0.841,141,17,26,282,5.0
6065,0.409,0.8,62,8,9,138,5.0
6066,0.439,0.855,122,281,85,535,3.0
6067,0.408,0.85,190,314,107,893,3.0
6068,0.426,0.817,113,217,77,565,3.0
6069,0.377,0.919,77,97,30,328,3.0
6070,0.46,0.709,341,469,183,921,3.0
6071,0.585,0.5,298,37,29,253,2.0
6072,0.446,0.897,132,331,67,347,3.0
6073,0.447,0.894,131,327,65,341,3.0
6074,0.4,1.0,4,1,0,10,5.0
6075,0.427,0.623,174,81,87,340,5.0
6076,0.527,0.889,26,11,6,75,4.0
6077,0.422,0.722,518,60,51,731,1.0
6078,0.483,0.846,176,387,111,841,3.0
6079,0.375,0.5,2,2,2,10,5.0
6080,0.418,0.9,30,49,18,79,3.0
6081,0.437,0.724,183,55,23,387,5.0
6082,0.474,0.817,152,154,82,658,4.0
6083,0.465,0.679,62,53,44,280,4.0
6084,0.483,0.907,90,101,38,378,4.0
6085,0.391,0.718,94,151,71,288,3.0
6086,0.338,0.677,56,100,25,162,3.0
6087,0.456,0.794,242,199,74,1220,4.0
6088,0.487,0.768,244,46,36,291,1.0
6089,0.541,0.5,77,49,22,198,5.0
6090,0.5,0.741,146,60,31,466,5.0
6091,0.468,0.734,198,65,64,416,5.0
6092,0.417,0.667,9,1,2,27,5.0
6093,0.341,0.6,22,18,8,37,4.0
6094,0.487,0.655,344,67,25,583,2.0
6095,0.505,0.66,173,36,13,268,2.0
6096,0.474,0.649,171,31,12,315,2.0
6097,0.518,0.556,308,32,45,106,1.0
6098,0.413,0.611,466,111,68,765,1.0
6099,0.463,0.693,455,78,35,816,2.0
6100,0.462,0.848,155,85,17,504,4.0
6101,0.46,0.86,228,603,121,1471,3.0
6102,0.434,0.688,252,23,29,282,1.0
6103,0.53,0.738,221,60,33,536,5.0
6104,0.548,0.714,149,35,22,333,5.0
6105,0.504,0.77,72,25,11,203,5.0
6106,0.447,0.781,173,203,71,1082,4.0
6107,0.467,0.647,324,173,96,1050,4.0
6108,0.445,0.661,306,104,53,405,2.0
6109,0.457,0.825,162,268,56,429,3.0
6110,0.469,0.829,404,282,190,1287,4.0
6111,0.429,0.772,587,145,46,1040,2.0
6112,0.402,0.886,123,248,51,423,3.0
6113,0.343,0.571,14,3,6,59,4.0
6114,0.46,0.789,362,173,105,806,5.0
6115,0.471,0.889,6,0,1,24,4.0
6116,0.421,0.838,41,9,12,150,2.0
6117,0.384,0.571,45,8,9,76,2.0
6118,0.329,0.941,32,63,10,96,3.0
6119,0.468,0.684,283,47,38,467,2.0
6120,0.46,0.672,148,21,22,233,2.0
6121,0.5,0.667,28,4,3,34,2.0
6122,0.46,0.788,101,69,31,490,4.0
6123,0.469,0.835,98,137,56,543,4.0
6124,0.446,0.669,715,94,39,971,1.0
6125,0.438,0.659,143,334,55,579,4.0
6126,0.5,0.8,7,4,3,34,4.0
6127,0.484,0.696,560,61,45,785,2.0
6128,0.514,0.838,47,59,17,184,3.0
6129,0.464,0.836,169,157,43,898,4.0
6130,0.458,0.634,158,73,49,282,5.0
6131,0.498,0.58,480,30,41,323,2.0
6132,0.474,0.667,6,7,7,30,4.0
6133,0.499,0.601,392,59,85,439,1.0
6134,0.408,0.798,106,196,52,489,3.0
6135,0.441,0.796,152,183,39,513,4.0
6136,0.511,0.707,695,94,67,1261,1.0
6137,0.424,0.735,172,172,73,781,3.0
6138,0.667,0.5,2,3,0,8,3.0
6139,0.423,0.738,170,169,73,773,3.0
6140,0.506,0.691,518,172,83,667,1.0
6141,0.514,0.669,135,319,55,639,3.0
6142,0.477,0.801,346,382,126,1287,4.0
6143,0.468,0.825,104,253,44,943,4.0
6144,0.5,0.0,5,5,0,14,4.0
6145,0.553,0.662,977,224,55,1731,2.0
6146,0.457,0.881,75,16,17,218,4.0
6147,0.437,0.793,55,139,51,277,3.0
6148,0.46,0.837,217,201,86,872,4.0
6149,0.34,0.857,54,39,26,150,4.0
6150,0.347,0.867,34,26,21,91,4.0
6151,0.327,0.85,20,13,5,59,4.0
6152,0.451,0.852,166,346,54,633,3.0
6153,0.566,0.833,156,221,81,612,5.0
6154,0.413,0.718,124,62,24,334,5.0
6155,0.519,0.782,184,89,60,934,5.0
6156,0.579,0.635,50,18,19,164,5.0
6157,0.438,0.805,544,213,65,1083,5.0
6158,0.418,0.807,137,55,29,321,5.0
6159,0.404,0.833,85,31,22,206,5.0
6160,0.453,0.667,52,24,7,115,5.0
6161,0.506,0.72,265,28,16,540,1.0
6162,0.341,0.795,32,5,10,67,1.0
6163,0.455,0.488,124,16,25,102,2.0
6164,0.39,0.545,47,26,21,94,5.0
6165,0.428,0.8,114,59,26,291,2.0
6166,0.466,0.784,438,405,132,1763,5.0
6167,0.448,0.757,193,333,75,474,3.0
6168,0.452,0.776,448,76,44,816,2.0
6169,0.45,0.77,273,51,15,441,1.0
6170,0.547,0.743,358,276,100,983,5.0
6171,0.408,0.435,184,14,13,165,1.0
6172,0.428,0.688,196,10,6,227,1.0
6173,0.496,0.679,234,63,19,493,2.0
6174,0.339,0.429,24,45,21,53,3.0
6175,0.495,0.738,786,348,139,1518,2.0
6176,0.333,0.76,19,28,7,68,4.0
6177,0.457,0.6,334,53,52,656,2.0
6178,0.341,0.5,67,74,37,152,3.0
6179,0.511,0.712,521,78,68,885,1.0
6180,0.449,0.688,391,200,156,1087,5.0
6181,0.487,0.802,439,104,65,921,2.0
6182,0.436,0.806,147,277,86,751,3.0
6183,0.778,1.0,1,6,1,16,4.0
6184,0.509,0.75,555,86,44,737,5.0
6185,0.486,0.857,48,84,17,105,3.0
6186,0.389,0.633,168,39,23,170,5.0
6187,0.462,0.678,618,172,81,921,1.0
6188,0.378,0.846,45,34,15,227,4.0
6189,0.457,0.716,668,123,78,600,2.0
6190,0.238,0.75,7,16,4,25,3.0
6191,0.0,1.0,4,0,3,14,5.0
6192,0.513,0.821,356,167,61,823,5.0
6193,0.294,0.571,15,0,0,22,1.0
6194,0.518,0.697,271,36,15,346,2.0
6195,0.395,0.763,76,68,28,311,4.0
6196,0.472,0.781,299,672,136,1528,3.0
6197,0.442,0.696,103,233,72,566,4.0
6198,0.477,0.75,290,241,108,764,3.0
6199,0.487,0.754,207,24,10,350,2.0
6200,0.413,0.745,52,42,42,191,4.0
6201,0.463,0.868,334,221,148,862,4.0
6202,0.485,0.652,442,73,42,986,2.0
6203,0.483,0.716,325,168,96,832,5.0
6204,0.403,0.825,143,41,26,163,2.0
6205,0.556,1.0,2,4,1,36,3.0
6206,0.437,0.409,91,22,19,170,2.0
6207,0.457,0.74,623,551,143,1712,5.0
6208,0.499,0.608,608,88,67,571,2.0
6209,0.387,0.855,123,45,40,261,4.0
6210,0.424,0.621,93,33,20,245,2.0
6211,0.489,0.885,270,349,109,1139,4.0
6212,0.554,0.692,542,163,112,536,2.0
6213,0.46,0.851,274,212,63,1509,4.0
6214,0.468,0.721,449,208,82,1184,2.0
6215,0.412,0.74,247,224,123,862,3.0
6216,0.407,0.776,66,177,23,250,3.0
6217,0.43,0.811,36,80,13,128,3.0
6218,0.388,0.744,30,97,10,122,3.0
6219,0.519,0.762,723,71,52,1139,1.0
6220,0.494,0.729,296,494,176,1758,3.0
6221,0.407,0.814,302,317,105,790,3.0
6222,0.409,0.797,210,156,60,722,4.0
6223,0.453,0.812,400,381,79,1242,4.0
6224,0.489,0.818,227,223,41,657,4.0
6225,0.422,0.805,173,158,38,585,4.0
6226,0.447,0.761,322,713,84,678,3.0
6227,0.382,0.955,15,5,1,80,2.0
6228,0.383,0.727,171,329,64,574,3.0
6229,0.485,0.726,150,591,84,766,3.0
6230,0.465,0.831,153,88,32,633,5.0
6231,0.47,0.871,164,245,27,476,3.0
6232,0.504,0.756,401,150,40,1087,5.0
6233,0.538,0.765,302,246,160,1349,4.0
6234,0.403,0.737,102,18,10,120,2.0
6235,0.482,0.784,475,283,141,2357,4.0
6236,0.482,0.569,97,50,35,149,4.0
6237,0.446,0.727,745,197,108,1442,2.0
6238,0.465,0.918,77,96,26,376,3.0
6239,0.43,0.6,135,44,52,234,5.0
6240,0.454,0.799,510,745,162,954,3.0
6241,0.447,0.808,362,176,132,1328,4.0
6242,0.446,0.801,253,656,196,723,3.0
6243,0.465,0.786,365,104,54,482,1.0
6244,0.48,0.708,327,314,76,984,5.0
6245,0.495,0.864,487,190,71,1020,2.0
6246,0.38,0.772,153,16,18,152,1.0
6247,0.485,0.625,8,5,3,49,3.0
6248,0.231,0.75,4,3,1,9,4.0
6249,0.441,0.788,292,180,58,1020,4.0
6250,0.389,0.7,18,1,1,24,1.0
6251,0.429,0.333,12,5,1,19,2.0
6252,0.442,0.719,150,25,29,141,2.0
6253,0.492,0.703,362,122,65,616,5.0
6254,0.386,0.805,133,101,41,616,5.0
6255,0.368,0.714,15,45,13,37,4.0
6256,0.507,0.784,268,157,68,519,4.0
6257,0.531,0.761,834,316,96,2190,2.0
6258,0.471,0.833,142,219,62,669,3.0
6259,0.521,0.739,392,139,71,947,2.0
6260,0.448,0.731,230,704,104,1450,3.0
6261,0.436,0.731,628,159,95,1123,5.0
6262,0.384,0.848,164,331,82,841,3.0
6263,0.47,0.797,236,132,43,723,5.0
6264,0.512,0.649,826,342,68,1039,2.0
6265,0.452,0.8,57,52,16,291,4.0
6266,0.385,0.885,13,12,2,81,4.0
6267,0.489,0.735,44,40,14,210,4.0
6268,0.402,0.745,114,349,65,363,3.0
6269,0.434,0.742,364,177,110,788,5.0
6270,0.466,0.765,218,84,54,456,5.0
6271,0.537,0.702,613,106,100,1225,2.0
6272,0.462,0.712,269,98,49,451,5.0
6273,0.459,0.556,259,19,24,247,1.0
6274,0.471,0.714,211,88,57,359,5.0
6275,0.46,0.87,68,38,23,109,5.0
6276,0.377,0.688,163,137,78,223,4.0
6277,0.242,1.0,40,55,14,62,4.0
6278,0.458,0.839,280,176,125,1221,4.0
6279,0.621,0.647,25,12,10,92,5.0
6280,0.466,0.604,400,196,58,401,1.0
6281,0.504,0.868,232,171,78,1578,4.0
6282,0.468,0.804,408,133,45,776,5.0
6283,0.448,0.758,152,39,19,212,2.0
6284,0.462,0.686,150,88,53,345,4.0
6285,0.47,0.832,385,107,64,1000,5.0
6286,0.455,0.721,114,24,25,233,5.0
6287,0.25,0.75,1,3,0,9,4.0
6288,0.503,0.939,249,186,95,927,5.0
6289,0.454,0.801,156,219,103,507,3.0
6290,0.504,0.748,484,142,118,1220,5.0
6291,0.482,0.871,277,84,67,1238,5.0
6292,0.438,0.761,114,30,29,233,2.0
6293,0.481,0.86,160,262,63,691,3.0
6294,0.339,0.567,69,9,10,58,2.0
6295,0.444,0.82,141,138,77,1089,5.0
6296,0.394,0.8,33,17,9,64,4.0
6297,0.489,0.506,201,17,15,269,2.0
6298,0.444,0.851,724,201,123,711,2.0
6299,0.486,0.755,460,143,84,772,1.0
6300,0.381,0.7,39,65,13,123,3.0
6301,0.418,0.689,18,33,7,77,3.0
6302,0.557,0.575,637,216,107,783,2.0
6303,0.4,0.875,14,37,8,62,3.0
6304,0.474,0.589,582,219,93,818,5.0
6305,0.326,0.694,34,42,20,94,3.0
6306,0.457,0.65,26,19,11,72,4.0
6307,0.5,0.651,437,53,36,558,1.0
6308,0.505,0.744,376,679,185,1571,3.0
6309,0.464,0.766,123,137,61,469,4.0
6310,0.566,0.667,20,23,9,79,4.0
6311,0.442,0.78,103,114,52,390,4.0
6312,0.551,0.526,535,57,22,394,1.0
6313,0.438,0.789,255,113,62,580,2.0
6314,0.438,0.844,108,230,90,591,3.0
6315,0.393,0.757,204,86,29,409,2.0
6316,0.486,0.776,363,188,129,1204,4.0
6317,0.461,0.757,216,187,81,642,4.0
6318,0.489,0.824,236,85,51,760,4.0
6319,0.369,0.827,45,34,9,151,4.0
6320,0.496,0.777,227,254,79,841,5.0
6321,0.46,0.452,439,107,37,550,1.0
6322,0.342,0.588,26,7,3,39,5.0
6323,0.485,0.856,168,271,63,777,3.0
6324,0.48,0.708,313,57,27,570,1.0
6325,0.447,0.786,107,192,52,406,3.0
6326,0.471,0.845,129,297,53,597,3.0
6327,0.474,0.937,142,117,41,548,4.0
6328,0.525,0.706,585,155,39,1207,1.0
6329,0.435,0.775,185,230,80,717,3.0
6330,0.461,0.73,210,51,35,384,2.0
6331,0.495,0.787,100,61,34,339,4.0
6332,0.486,0.815,73,44,29,257,4.0
6333,0.517,0.571,27,17,5,82,4.0
6334,0.37,0.617,70,110,62,337,5.0
6335,0.464,0.849,353,182,77,1826,5.0
6336,0.409,0.698,96,226,44,289,3.0
6337,0.466,0.864,229,279,88,1623,4.0
6338,0.472,0.828,346,231,55,1458,4.0
6339,0.418,0.75,133,22,15,139,1.0
6340,0.38,0.5,46,39,19,162,4.0
6341,0.41,0.5,13,10,7,54,4.0
6342,0.362,0.5,33,29,12,108,4.0
6343,0.496,0.689,410,170,92,1133,5.0
6344,0.512,0.735,775,199,64,1574,1.0
6345,0.475,0.808,307,158,69,1308,5.0
6346,0.438,0.72,111,135,37,541,3.0
6347,0.231,1.0,12,1,4,17,5.0
6348,0.448,0.55,1201,230,47,375,2.0
6349,0.528,0.563,67,18,10,112,2.0
6350,0.523,0.563,65,16,9,108,2.0
6351,0.49,0.686,424,202,93,1149,5.0
6352,0.496,0.728,195,155,56,771,5.0
6353,0.436,0.639,90,19,21,158,2.0
6354,0.492,0.766,326,101,90,738,5.0
6355,0.53,0.798,729,218,65,1167,1.0
6356,0.501,0.844,554,341,60,1232,5.0
6357,0.42,0.808,247,153,53,888,5.0
6358,0.417,0.822,197,129,43,707,5.0
6359,0.43,0.667,50,24,10,181,5.0
6360,0.2,0.5,4,0,1,4,4.0
6361,0.446,0.824,219,100,65,591,5.0
6362,0.433,0.741,393,77,28,746,1.0
6363,0.442,0.754,357,69,25,704,1.0
6364,0.339,0.767,7,36,7,61,3.0
6365,0.359,0.692,215,261,49,372,3.0
6366,0.342,0.727,151,173,35,251,3.0
6367,0.396,0.632,64,88,14,121,3.0
6368,0.552,0.514,77,33,9,132,2.0
6369,0.468,0.385,46,16,5,54,2.0
6370,0.65,0.591,31,17,4,78,2.0
6371,0.436,0.545,27,21,12,119,4.0
6372,0.2,0.5,8,2,2,10,4.0
6373,0.492,0.556,19,19,10,109,4.0
6374,0.437,0.775,471,94,62,1155,2.0
6375,0.433,0.769,338,67,44,846,2.0
6376,0.45,0.788,133,27,18,309,2.0
6377,0.482,0.631,306,88,41,251,2.0
6378,0.508,0.658,206,59,26,182,2.0
6379,0.475,0.855,309,292,75,1464,4.0
6380,0.4,0.75,7,10,5,19,3.0
6381,0.497,0.783,505,101,40,1216,1.0
6382,0.461,0.69,81,177,60,209,3.0
6383,0.455,0.5,4,13,0,25,3.0
6384,0.462,0.721,77,164,60,184,3.0
6385,0.441,0.745,51,68,19,299,4.0
6386,0.473,0.802,76,67,31,353,5.0
6387,0.488,0.782,190,174,58,896,4.0
6388,0.441,0.787,230,219,78,1059,4.0
6389,0.389,0.667,6,1,2,27,5.0
6390,0.367,0.872,65,50,21,235,4.0
6391,0.55,0.827,166,543,89,770,3.0
6392,0.454,0.829,298,580,113,1225,3.0
6393,0.46,0.844,217,399,80,952,3.0
6394,0.428,0.787,81,181,33,273,3.0
6395,0.382,0.774,161,167,56,511,4.0
6396,0.541,0.72,213,26,18,349,2.0
6397,0.442,0.726,405,801,126,1349,3.0
6398,0.423,0.781,427,51,31,736,2.0
6399,0.398,0.565,94,171,44,267,4.0
6400,0.469,0.377,212,48,20,307,1.0
6401,0.468,0.333,154,36,15,248,1.0
6402,0.343,0.688,13,1,3,38,5.0
6403,0.476,0.709,296,53,34,815,2.0
6404,0.444,0.64,47,19,21,148,4.0
6405,0.455,0.7,10,9,5,62,4.0
6406,0.375,0.615,37,9,16,77,4.0
6407,0.476,0.74,288,90,54,845,5.0
6408,0.538,0.5,15,27,10,59,3.0
6409,0.455,0.333,5,3,4,26,3.0
6410,0.6,0.6,10,24,6,33,3.0
6411,0.475,0.683,537,222,48,752,2.0
6412,0.481,0.694,371,161,30,528,2.0
6413,0.461,0.657,166,61,18,224,2.0
6414,0.481,0.679,338,72,35,630,2.0
6415,0.494,0.693,234,58,27,471,2.0
6416,0.448,0.633,104,14,8,159,2.0
6417,0.44,0.791,194,442,64,881,3.0
6418,0.458,0.846,408,106,64,1219,2.0
6419,0.449,0.638,152,20,15,162,2.0
6420,0.407,0.647,102,18,10,114,2.0
6421,0.36,0.706,38,84,9,139,3.0
6422,0.439,0.375,65,7,4,75,2.0
6423,0.447,0.645,836,273,142,1840,2.0
6424,0.488,0.546,302,24,30,365,2.0
6425,0.478,0.717,373,110,62,1147,5.0
6426,0.548,0.662,478,195,75,1124,2.0
6427,0.581,0.929,24,35,8,80,4.0
6428,0.533,1.0,9,21,5,42,4.0
6429,0.625,0.818,15,14,3,38,4.0
6430,0.512,0.805,274,466,144,642,3.0
6431,0.435,0.783,127,78,53,511,4.0
6432,0.455,1.0,3,5,1,12,3.0
6433,0.512,0.589,674,273,111,1555,1.0
6434,0.427,0.721,68,34,15,128,4.0
6435,0.467,0.795,213,529,140,1054,3.0
6436,0.379,0.725,82,45,11,157,4.0
6437,0.364,0.6,11,25,6,57,3.0
6438,1.0,0.0,1,1,0,2,3.0
6439,0.398,0.915,115,196,34,422,3.0
6440,0.345,0.704,90,78,34,380,4.0
6441,0.525,0.776,147,14,19,296,2.0
6442,0.457,0.722,81,103,38,324,4.0
6443,0.477,0.734,60,83,30,283,4.0
6444,0.35,0.636,21,20,8,41,4.0
6445,0.317,0.5,15,3,6,37,4.0
6446,0.501,0.666,883,67,45,837,1.0
6447,0.526,0.651,379,48,51,410,2.0
6448,0.364,0.97,14,32,9,64,3.0
6449,0.448,0.67,179,89,34,453,5.0
6450,0.447,0.81,211,29,17,237,1.0
6451,0.475,0.522,92,20,18,136,5.0
6452,0.4,0.864,200,122,59,608,5.0
6453,0.4,0.817,118,69,40,348,5.0
6454,0.4,0.908,82,53,19,260,5.0
6455,0.499,0.63,446,230,76,1401,5.0
6456,0.513,0.793,679,78,55,1305,2.0
6457,0.474,0.517,79,37,21,150,4.0
6458,0.342,0.5,126,30,20,87,2.0
6459,0.446,0.659,606,55,55,623,1.0
6460,0.222,0.875,17,2,0,29,1.0
6461,0.167,1.0,4,1,0,11,1.0
6462,0.443,0.691,186,50,50,454,4.0
6463,0.438,0.841,374,172,69,1152,5.0
6464,0.432,0.841,74,119,35,261,3.0
6465,0.492,0.903,212,178,53,856,4.0
6466,0.424,0.836,109,145,48,409,4.0
6467,0.465,0.832,103,193,33,412,3.0
6468,0.433,0.611,277,91,64,701,5.0
6469,0.46,0.712,132,56,39,427,4.0
6470,0.379,0.708,97,27,18,134,1.0
6471,0.437,0.697,63,100,66,319,3.0
6472,0.452,0.857,39,61,12,105,3.0
6473,0.429,0.9,16,27,3,57,3.0
6474,0.474,0.818,23,34,9,48,3.0
6475,0.483,0.904,180,335,108,690,3.0
6476,0.364,0.625,44,10,17,53,5.0
6477,0.453,0.684,125,58,57,208,5.0
6478,0.41,0.669,237,89,47,477,1.0
6479,0.451,0.735,94,26,9,181,2.0
6480,0.407,0.692,54,13,9,78,4.0
6481,0.456,0.45,211,56,32,468,2.0
6482,0.495,0.719,516,192,43,676,2.0
6483,0.493,0.877,105,208,52,464,3.0
6484,0.484,0.772,144,116,42,412,4.0
6485,0.25,0.692,20,29,7,37,4.0
6486,0.593,0.845,96,112,53,213,4.0
6487,0.525,0.672,300,53,29,335,1.0
6488,0.447,0.533,28,20,9,45,3.0
6489,0.433,0.462,23,20,7,35,3.0
6490,0.398,0.675,40,10,11,118,3.0
6491,0.427,0.843,80,169,42,346,3.0
6492,0.461,0.751,136,325,78,662,3.0
6493,0.408,0.913,96,173,58,624,4.0
6494,0.425,0.758,224,278,99,640,3.0
6495,0.364,0.519,151,12,19,100,2.0
