,2P%,FT%,TRB,AST,STL,PTS,Pos
220,0.423,0.779,228,98,47,350,5.0
221,0.405,0.72,166,250,47,639,4.0
222,0.532,0.763,582,145,92,1035,2.0
223,0.507,0.812,316,123,63,1056,5.0
224,0.529,0.764,363,84,40,579,2.0
225,0.527,0.782,214,52,23,391,2.0
226,0.476,0.805,908,279,68,1175,1.0
227,0.516,0.887,167,347,61,1365,3.0
228,0.4,0.5,11,14,9,41,4.0
229,0.478,0.875,14,7,3,74,4.0
230,0.444,0.869,245,93,59,819,5.0
231,0.48,0.789,146,187,62,792,4.0
232,0.463,0.823,256,363,125,1441,4.0
233,0.453,0.87,79,92,26,324,3.0
234,0.461,0.862,76,85,22,309,3.0
235,0.456,0.905,54,42,25,259,5.0
236,0.426,0.769,121,259,75,299,3.0
237,0.481,0.837,242,426,136,1161,3.0
238,0.477,0.831,54,51,12,198,4.0
239,0.437,0.815,45,67,25,146,5.0
240,0.386,0.579,26,20,16,85,4.0
241,0.5,0.802,188,335,147,1056,3.0
242,0.504,0.838,329,515,114,1660,4.0
243,0.472,0.758,174,124,39,839,4.0
244,0.498,0.803,358,109,32,880,2.0
245,0.386,0.8,34,12,4,55,2.0
246,0.423,0.714,89,116,60,406,4.0
247,0.463,0.782,156,273,77,567,3.0
248,0.469,0.765,627,129,107,1005,5.0
249,0.513,0.665,1094,366,65,794,1.0
250,0.468,0.839,429,247,100,561,5.0
251,0.46,0.802,287,607,155,712,3.0
252,0.456,0.69,91,285,43,270,3.0
253,0.555,0.642,842,167,73,1073,2.0
254,0.516,0.801,386,145,84,1290,5.0
255,0.544,0.862,187,416,119,1792,4.0
256,0.479,0.851,181,239,88,770,3.0
257,0.424,0.546,409,213,76,503,2.0
258,0.425,0.748,316,243,93,1033,5.0
259,0.539,0.808,525,250,129,1644,5.0
260,0.458,0.7,106,183,100,506,3.0
261,0.496,0.815,192,166,72,1526,4.0
262,0.489,0.788,275,397,200,1816,3.0
263,0.505,0.787,412,512,167,1714,3.0
264,0.395,0.644,121,36,19,266,5.0
